frequency_Hz,theory_S11_real,theory_S11_imag,theory_S11_dB,openems_S11_real,openems_S11_imag,openems_S11_dB,theory_Zin_real_ohm,theory_Zin_imag_ohm,openems_Zin_real_ohm,openems_Zin_imag_ohm,theory_S21_real,theory_S21_imag,theory_S21_dB,openems_S21_real,openems_S21_imag,openems_S21_dB
2.000000000000e+08,9.650454408696e-01,-2.266445592678e-01,-7.587679900771e-02,9.459929053124e-01,-2.808084546947e-01,-1.154986886767e-01,1.646670466945e+01,-4.309685878054e+02,1.604744116578e+01,-3.434119164821e+02,-1.581323086837e-03,2.757366904203e-03,-4.995521493821e+01,3.444025453258e-03,-3.974091548339e-05,-4.925809472350e+01
2.005000000000e+08,9.646823132679e-01,-2.276302310071e-01,-7.699494791970e-02,9.453804806425e-01,-2.821317032186e-01,-1.173429036989e-01,1.655820290052e+01,-4.289822042023e+02,1.614006760203e+01,-3.416399511210e+02,-1.571292747652e-03,2.807648693876e-03,-4.984981942069e+01,3.589812194644e-03,-1.299485347283e-06,-4.889856486025e+01
2.010000000000e+08,9.643150737904e-01,-2.286205076182e-01,-7.812938262434e-02,9.447538662477e-01,-2.834579150092e-01,-1.192811060100e-01,1.665002993337e+01,-4.270028074778e+02,1.624194971732e+01,-3.398754569361e+02,-1.560610708068e-03,2.858441604148e-03,-4.974440425743e+01,3.743520465357e-03,2.553137006411e-05,-4.853419376096e+01
2.015000000000e+08,9.639436670645e-01,-2.296154233753e-01,-7.928035726718e-02,9.441132943935e-01,-2.847865636173e-01,-1.213124580746e-01,1.674218667950e+01,-4.250303401298e+02,1.635271062466e+01,-3.381190614194e+02,-1.549263870180e-03,2.909745719232e-03,-4.963896779663e+01,3.904144440408e-03,4.018413554904e-05,-4.816902240043e+01
2.020000000000e+08,9.635680368418e-01,-2.306150127704e-01,-8.044813050600e-02,9.434590376638e-01,-2.861171587924e-01,-1.234357190823e-01,1.683467405492e+01,-4.230647452006e+02,1.647192903913e+01,-3.363713437180e+02,-1.537238964438e-03,2.961561018233e-03,-4.953350838716e+01,4.070646787343e-03,4.218316903714e-05,-4.780626524936e+01
2.025000000000e+08,9.631881259824e-01,-2.316193105128e-01,-8.163296560210e-02,9.427914052979e-01,-2.874492494189e-01,-1.256492664987e-01,1.692749297994e+01,-4.211059662692e+02,1.659914446783e+01,-3.346328325125e+02,-1.524522547777e-03,3.013887372639e-03,-4.942802437850e+01,4.241966892133e-03,3.114584210758e-05,-4.744842038825e+01
2.030000000000e+08,9.628038764386e-01,-2.326283515276e-01,-8.283513051794e-02,9.421107393378e-01,-2.887824261097e-01,-1.279511197360e-01,1.702064437994e+01,-4.191539474453e+02,1.673386239040e+01,-3.329040043751e+02,-1.511101001733e-03,3.066724543764e-03,-4.932251412062e+01,4.417029049088e-03,6.782973822583e-06,-4.709738464941e+01
2.035000000000e+08,9.624152292389e-01,-2.336421709547e-01,-8.405489801050e-02,9.414174106171e-01,-2.901163234474e-01,-1.303389657465e-01,1.711412918478e+01,-4.172086333621e+02,1.687555939280e+01,-3.311852825881e+02,-1.496960530528e-03,3.120072180135e-03,-4.921697596399e+01,4.594750556766e-03,-3.110142803814e-05,-4.675456223800e+01
2.040000000000e+08,9.620221244712e-01,-2.346608041477e-01,-8.529254573092e-02,9.407118146225e-01,-2.914506218640e-01,-1.328101863394e-01,1.720794832894e+01,-4.152699691700e+02,1.702368822085e+01,-3.294770363979e+02,-1.482087159128e-03,3.173929814830e-03,-4.911140825944e+01,4.774049663947e-03,-8.261109971560e-05,-4.642096111154e+01
2.045000000000e+08,9.616245012658e-01,-2.356842866721e-01,-8.654835632644e-02,9.399943672584e-01,-2.927850491560e-01,-1.353618870087e-01,1.730210275184e+01,-4.133379005303e+02,1.717768272405e+01,-3.277795806810e+02,-1.466466731281e-03,3.228296862759e-03,-4.900580935814e+01,4.953853312092e-03,-1.477591052557e-04,-4.609727513775e+01
2.050000000000e+08,9.612222977781e-01,-2.367126543042e-01,-8.782261754278e-02,9.392655005460e-01,-2.941193816302e-01,-1.379909270622e-01,1.739659339755e+01,-4.114123736085e+02,1.733696266373e+01,-3.260931759963e+02,-1.450084907527e-03,3.283172617887e-03,-4.890017761153e+01,5.133104623462e-03,-2.264700443747e-04,-4.578395221710e+01
2.055000000000e+08,9.608154511713e-01,-2.377459430288e-01,-8.911562232812e-02,9.385256582882e-01,-2.954534448820e-01,-1.406939508334e-01,1.749142121462e+01,-4.094933350686e+02,1.750093836289e+01,-3.244180289977e+02,-1.432927163182e-03,3.338556250407e-03,-4.879451137123e+01,5.310770087017e-03,-3.185828536778e-04,-4.548124965902e+01
2.060000000000e+08,9.604038975977e-01,-2.387841890379e-01,-9.042766894622e-02,9.377752917301e-01,-2.967871142077e-01,-1.434674197583e-01,1.758658715690e+01,-4.075807320663e+02,1.766901517851e+01,-3.227542931819e+02,-1.414978786296e-03,3.394446803843e-03,-4.868880898902e+01,5.485846397528e-03,-4.238541670513e-04,-4.518927854356e+01
2.065000000000e+08,9.599875721810e-01,-2.398274287284e-01,-9.175906108220e-02,9.370148552448e-01,-2.981203146564e-01,-1.463076450962e-01,1.768209218269e+01,-4.056745122431e+02,1.784059777994e+01,-3.211020699441e+02,-1.396224875586e-03,3.450843192105e-03,-4.858306881677e+01,5.657366906766e-03,-5.419621979048e-04,-4.490803886696e+01
2.070000000000e+08,9.595664089972e-01,-2.408756987000e-01,-9.311010795909e-02,9.362448020738e-01,-2.994530207278e-01,-1.492108210749e-01,1.777793725534e+01,-4.037746237205e+02,1.801509421954e+01,-3.194614099185e+02,-1.376650338336e-03,3.507744196475e-03,-4.847728920636e+01,5.824407649357e-03,-6.725111031289e-04,-4.463744714284e+01
2.075000000000e+08,9.591403410559e-01,-2.419290357526e-01,-9.448112445117e-02,9.354655801501e-01,-3.007852557268e-01,-1.521730582419e-01,1.787412334277e+01,-4.018810150945e+02,1.819191978419e+01,-3.178323145770e+02,-1.356239888280e-03,3.565148462528e-03,-4.837146850964e+01,5.986092909739e-03,-8.150357861689e-04,-4.437735792110e+01
2.080000000000e+08,9.587093002802e-01,-2.429874768843e-01,-9.587243120711e-02,9.346776280292e-01,-3.021170907850e-01,-1.551904168038e-01,1.797065141826e+01,-3.999936354284e+02,1.837050061847e+01,-3.162147380624e+02,-1.334978043446e-03,3.623054496996e-03,-4.826560507842e+01,6.141600300669e-03,-9.690070945032e-04,-4.412758045603e+01
2.085000000000e+08,9.582732174876e-01,-2.440510592880e-01,-9.728435476680e-02,9.338813709562e-01,-3.034486435638e-01,-1.582589397431e-01,1.806752245964e+01,-3.981124342489e+02,1.855027711209e+01,-3.146085892346e+02,-1.312849123983e-03,3.681460664559e-03,-4.815969726434e+01,6.290165327840e-03,-1.133837365042e-03,-4.388789153543e+01
2.090000000000e+08,9.578320223692e-01,-2.451198203491e-01,-9.871722768927e-02,9.330772170903e-01,-3.047800766537e-01,-1.613746855011e-01,1.816473744988e+01,-3.962373615388e+02,1.873070704570e+01,-3.130137339047e+02,-1.289837249951e-03,3.740365184571e-03,-4.805374341888e+01,6.431085419363e-03,-1.308886269584e-03,-4.365804528850e+01
2.095000000000e+08,9.573856434694e-01,-2.461937976421e-01,-1.001713886781e-01,9.322655539104e-01,-3.061115956877e-01,-1.645337600282e-01,1.826229737671e+01,-3.943683677325e+02,1.891126849080e+01,-3.114299972376e+02,-1.265926339085e-03,3.799766127713e-03,-4.794774189330e+01,6.563723403130e-03,-1.493466911422e-03,-4.343778062508e+01
2.100000000000e+08,9.569340081645e-01,-2.472730289273e-01,-1.016471827148e-01,9.314467448223e-01,-3.074434471871e-01,-1.677323480039e-01,1.836020323321e+01,-3.925054037099e+02,1.909146246066e+01,-3.098571663014e+02,-1.241100104535e-03,3.859661412579e-03,-4.784169103860e+01,6.687510419340e-03,-1.686852123508e-03,-4.322682682355e+01
2.105000000000e+08,9.564770426417e-01,-2.483575521472e-01,-1.031449611890e-01,9.306211259868e-01,-3.087759161596e-01,-1.709667430399e-01,1.845845601715e+01,-3.906484207915e+02,1.927081530998e+01,-3.082949927436e+02,-1.215342052572e-03,3.920048802187e-03,-4.773558920547e+01,6.801948259729e-03,-1.888280918297e-03,-4.302490767439e+01
2.110000000000e+08,9.560146718768e-01,-2.494474054230e-01,-1.046650820380e-01,9.297890033846e-01,-3.101093234718e-01,-1.742333766897e-01,1.855705673148e+01,-3.887973707325e+02,1.944888088245e+01,-3.067431955753e+02,-1.188635480261e-03,3.980925900411e-03,-4.762943474424e+01,6.906611129281e-03,-2.096965039402e-03,-4.283174449890e+01
2.115000000000e+08,9.555468196120e-01,-2.505426270504e-01,-1.062079098864e-01,9.289506501342e-01,-3.114440230179e-01,-1.775288460962e-01,1.865600638428e+01,-3.869522057178e+02,1.962524240568e+01,-3.052014640441e+02,-1.160963473115e-03,4.042290148343e-03,-4.752322600488e+01,7.001146830353e-03,-2.312095565581e-03,-4.264705829282e+01
2.120000000000e+08,9.550734083332e-01,-2.516432554952e-01,-1.077738161899e-01,9.281063040752e-01,-3.127803987080e-01,-1.808499401216e-01,1.875530598875e+01,-3.851128783571e+02,1.979951413405e+01,-3.036694605784e+02,-1.132308902709e-03,4.104138820570e-03,-4.741696133691e+01,7.085277373215e-03,-2.532849518290e-03,-4.247057118999e+01
2.125000000000e+08,9.545943592467e-01,-2.527493293894e-01,-1.093631793814e-01,9.272561656281e-01,-3.141188613007e-01,-1.841936638157e-01,1.885495656304e+01,-3.832793416791e+02,1.997134274075e+01,-3.021468237848e+02,-1.102654424269e-03,4.166469021370e-03,-4.731063908944e+01,7.158799020967e-03,-2.758396425083e-03,-4.230200739838e+01
